rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,Inf,0.0,1.0,1.0,0.0
0.05,0.1,Inf,0.002,0.9620203700714193,0.9981821191553855,0.04
0.05,0.1,Inf,0.004,0.9244600185908786,0.9963648420531718,0.08
0.05,0.1,Inf,0.006,0.8873430616113537,0.9945481713968187,0.12
0.05,0.1,Inf,0.008,0.8506961469686041,0.9927321099039272,0.16
0.05,0.1,Inf,0.01,0.8145486833937711,0.9909166603063145,0.19999999999999998
0.05,0.1,Inf,0.012,0.7789330656584056,0.98910182535009,0.24
0.05,0.1,Inf,0.014,0.7438848835887308,0.9872876077957314,0.27999999999999997
0.05,0.1,Inf,0.016,0.7094430979991326,0.9854740104181616,0.32
0.05,0.1,Inf,0.018000000000000002,0.6756501608099978,0.9836610360068244,0.36000000000000004
0.05,0.1,Inf,0.02,0.6425520499951134,0.9818486873657627,0.39999999999999997
0.05,0.1,Inf,0.022000000000000002,0.6101981830149549,0.9800369673136947,0.44
0.05,0.1,Inf,0.024,0.5786411659387569,0.9782258786840926,0.48
0.05,0.1,Inf,0.026000000000000002,0.547936331022971,0.9764154243252597,0.52
0.05,0.1,Inf,0.028,0.5181410152424618,0.9746056071004089,0.5599999999999999
0.05,0.1,Inf,0.030000000000000002,0.4893135388648199,0.9727964298877411,0.6
0.05,0.1,Inf,0.032,0.4615118594951034,0.9709878955805242,0.64
0.05,0.1,Inf,0.034,0.4347919053148537,0.9691800070871722,0.68
0.05,0.1,Inf,0.036000000000000004,0.4092056318110815,0.967372767331324,0.7200000000000001
0.05,0.1,Inf,0.038,0.38479889611436413,0.9655661792519239,0.7599999999999999
0.05,0.1,Inf,0.04,0.3616092947655586,0.9637602458033007,0.7999999999999999
0.05,0.1,Inf,0.042,0.33966415285134,0.9619549699552487,0.84
0.05,0.1,Inf,0.044000000000000004,0.3189788717210945,0.9601503546931074,0.88
0.05,0.1,Inf,0.046,0.2995558280722015,0.958346403017843,0.9199999999999999
0.05,0.1,Inf,0.048,0.2813839654987659,0.9565431179461289,0.96
0.05,0.1,Inf,0.05,0.2644391375095695,0.9547405025104273,1.0
0.0,0.1,Inf,0.0,1.0,1.0,0.0
0.0,0.1,Inf,0.0,0.9637602458033007,0.9637602458033007,0.04
0.0,0.1,Inf,0.0,0.9277837386399846,0.9277837386399848,0.08
0.0,0.1,Inf,0.0,0.8920956084253275,0.8920956084253278,0.12
0.0,0.1,Inf,0.0,0.8567237409455183,0.8567237409455183,0.16
0.0,0.1,Inf,0.0,0.8216990566028302,0.8216990566028302,0.2
0.0,0.1,Inf,0.0,0.7870557952810575,0.7870557952810575,0.24
0.0,0.1,Inf,0.0,0.7528317965096905,0.7528317965096906,0.28
0.0,0.1,Inf,0.0,0.7190687590584985,0.7190687590584988,0.32
0.0,0.1,Inf,0.0,0.6858124577258358,0.6858124577258358,0.36
0.0,0.1,Inf,0.0,0.6531128874149275,0.6531128874149275,0.4
0.0,0.1,Inf,0.0,0.621024295920343,0.6210242959203431,0.44
0.0,0.1,Inf,0.0,0.5896050579220461,0.5896050579220461,0.48
0.0,0.1,Inf,0.0,0.5589173349139342,0.5589173349139344,0.52
0.0,0.1,Inf,0.0,0.5290264614203248,0.5290264614203248,0.56
0.0,0.1,Inf,0.0,0.5,0.5000000000000001,0.6
0.0,0.1,Inf,0.0,0.47190641994557514,0.47190641994557514,0.64
0.0,0.1,Inf,0.0,0.444813380855664,0.44481338085566413,0.68
0.0,0.1,Inf,0.0,0.41878564445547195,0.41878564445547206,0.72
0.0,0.1,Inf,0.0,0.39388269481403293,0.39388269481403293,0.76
0.0,0.1,Inf,0.0,0.3701562118716424,0.3701562118716425,0.8
0.0,0.1,Inf,0.0,0.3476476034853718,0.3476476034853718,0.84
0.0,0.1,Inf,0.0,0.3263858403911275,0.3263858403911275,0.88
0.0,0.1,Inf,0.0,0.3063858403911275,0.3063858403911275,0.92
0.0,0.1,Inf,0.0,0.2876476034853718,0.2876476034853718,0.96
0.0,0.1,Inf,0.0,0.2701562118716424,0.2701562118716425,1.0
